Familia,Config,Dataset,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Params
LSTM,LSTM_C1_Simple,balanced,0.9584569732937686,0.9398496240601504,0.9541984732824428,0.946969696969697,0.9880678870525457,1189249
LSTM,LSTM_C2_Medium,balanced,0.9584569732937686,0.9398496240601504,0.9541984732824428,0.946969696969697,0.9848439931816497,2448129
LSTM,LSTM_C3_Stacked,balanced,0.9436201780415431,0.917910447761194,0.9389312977099237,0.9283018867924528,0.9873267620247536,2495489
LSTM,LSTM_C4_Deep,balanced,0.9525222551928784,0.9136690647482014,0.9694656488549618,0.9407407407407408,0.987178537019195,5404929
LSTM,LSTM_C1_Simple,big_ahr,0.9577221742881795,0.9757894736842105,0.9727177334732424,0.9742511823436679,0.9823551584673844,1315137
LSTM,LSTM_C2_Medium,big_ahr,0.9542709232096636,0.9787234042553191,0.9653725078698846,0.9720021130480718,0.9797369573854664,2699905
LSTM,LSTM_C3_Stacked,big_ahr,0.9611734253666955,0.9758909853249476,0.9769150052465897,0.9764027267960147,0.9830835684960114,2747265
LSTM,LSTM_C4_Deep,big_ahr,0.9620362381363244,0.9769150052465897,0.9769150052465897,0.9769150052465897,0.9840310109108691,5908481
BiGRU,BiGRU_C1_Simple,balanced,0.9925233644859813,0.985239852398524,1.0,0.9925650557620818,0.9998742243836994,1208193
BiGRU,BiGRU_C2_Medium,balanced,0.9906542056074766,0.9888059701492538,0.9925093632958801,0.9906542056074766,0.9998602493152217,2522881
BiGRU,BiGRU_C3_Stacked,balanced,0.9906542056074766,0.9851851851851852,0.9962546816479401,0.9906890130353817,0.999832299178266,2640385
BiGRU,BiGRU_C4_Attention,balanced,0.9525222551928784,0.9197080291970803,0.9618320610687023,0.9402985074626866,0.9831023493663381,5956738
BiGRU,BiGRU_C1_Simple,big_ahr,0.9817610062893082,0.9908952959028832,0.9871504157218443,0.9890193108670958,0.9947571204928081,1334081
BiGRU,BiGRU_C2_Medium,big_ahr,0.9767295597484277,0.9908396946564886,0.981103552532124,0.9859475883023168,0.9948137390620001,2774657
BiGRU,BiGRU_C3_Stacked,big_ahr,0.9811320754716981,0.9908883826879271,0.9863945578231292,0.9886363636363636,0.9949439617711421,2892161
BiGRU,BiGRU_C4_Attention,big_ahr,0.9603106125970664,0.9798941798941799,0.9716684155299056,0.9757639620653319,0.9861398343503907,6460290
ConvLSTM,ConvLSTM_C1_Base,balanced,0.9850467289719627,0.9709090909090909,1.0,0.985239852398524,0.9998602493152217,1236929
ConvLSTM,ConvLSTM_C2_Medium,balanced,0.9906542056074766,0.9816176470588235,1.0,0.9907235621521335,0.9995527978087093,2613441
ConvLSTM,ConvLSTM_C3_Attention,balanced,0.3887240356083086,0.3887240356083086,1.0,0.5598290598290598,0.7772363447713629,2615746
ConvLSTM,ConvLSTM_C1_Base,big_ahr,0.979874213836478,0.9864355689525245,0.9894179894179894,0.9879245283018868,0.9946721926390198,1362817
ConvLSTM,ConvLSTM_C2_Medium,big_ahr,0.9723270440251572,0.9826415094339622,0.9841269841269841,0.9833836858006042,0.9904710948049632,2865217
ConvLSTM,ConvLSTM_C3_Attention,big_ahr,0.9559965487489215,0.9564777327935222,0.9916054564533053,0.973724884080371,0.9838425411831825,2867522
Transformer,Transformer_BETO,balanced,0.9554896142433235,0.9264705882352942,0.9618320610687023,0.9438202247191011,0.9896242496109094,7089410
Transformer,Transformer_BETO,big_ahr,0.9577221742881795,0.9640657084188912,0.9853095487932844,0.9745718733783083,0.9816725924265732,7089410
